Class;Co-change-class;Comon-percentage;Common-count;Total(Class)
/ant/core/trunk/src/main/org/apache/tools/ant/util/ResourceUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Rmic.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/util/ResourceUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;66.66666666666666;2;3
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JarTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Jar.java;100.0;3;3
/ant/core/trunk/src/main/org/apache/tools/ant/util/ReflectUtil.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Property.java;28.57142857142857;2;7
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/launch/LocatorTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/launch/Locator.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/DirectoryScanner.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/AbstractFileSet.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;/ant/core/trunk/src/main/org/apache/tools/ant/launch/Locator.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/WLRmic.java;50.0;3;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/optional/depend/ClassfileSet.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;100.0;3;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;50.0;3;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java;80.0;4;5
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskTest.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/ComponentHelper.java;15.384615384615385;2;13
/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/Project.java;15.384615384615385;2;13
/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/PropertyHelper.java;15.384615384615385;2;13
/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Definer.java;15.384615384615385;2;13
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/dotnet/NetCommand.java;25.0;2;8
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Redirector.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ProcessDestroyer.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/Cab.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/types/resources/AbstractClasspathResource.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/resources/JavaResource.java;66.66666666666666;2;3
