Package;Indegree_01;Outdegree_01;Indegree_02;Outdegree_02;Indegree_03;Outdegree_03;Indegree_04;Outdegree_04;Indegree_05;Outdegree_05;Indegree_06;Outdegree_06;Indegree_07;Outdegree_07;Indegree_08;Outdegree_08;Indegree_09;Outdegree_09;Indegree_10;Outdegree_10;Indegree_11;Outdegree_11;Indegree_12;Outdegree_12;Indegree_13;Outdegree_13;Indegree_14;Outdegree_14;Indegree_15;Outdegree_15;Indegree_16;Outdegree_16;Indegree_17;Outdegree_17;Indegree_18;Outdegree_18;Indegree_19;Outdegree_19;Indegree_20;Outdegree_20;Indegree_21;Outdegree_21;Indegree_22;Outdegree_22;Indegree_23;Outdegree_23;Indegree_24;Outdegree_24;Indegree_25;Outdegree_25;Indegree_26;Outdegree_26;Indegree_27;Outdegree_27;Indegree_28;Outdegree_28;Indegree_29;Outdegree_29;Indegree_30;Outdegree_30;Indegree_31;Outdegree_31;Indegree_32;Outdegree_32;Indegree_33;Outdegree_33;Indegree_34;Outdegree_34;Indegree_35;Outdegree_35;Indegree_36;Outdegree_36;Indegree_37;Outdegree_37;Indegree_38;Outdegree_38;Indegree_39;Outdegree_39
moduleLoader;3;3;64;9;3;3;66;9;66;9;3;3;3;3;3;3;3;3;22;6;21;5;3;3;3;3;26;2;2;3;25;2;2;3;2;3;37;0;37;0;40;0;2;3;2;3;2;3;2;3;2;3;40;0;2;3;2;3;2;3;2;3;42;0;2;3;45;0;2;3;2;3;2;3;2;3;46;0
application;138;0;72;0;138;1;72;1;72;0;140;1;140;0;140;1;140;1;110;0;154;1;131;1;137;1;110;1;137;1;110;0;136;0;135;1;109;1;109;0;109;0;156;0;156;0;156;0;156;0;156;1;111;0;160;0;160;1;165;0;165;0;118;1;170;1;120;0;170;1;170;0;170;1;170;0;120;0
javaCodeGeneration;0;13;0;9;0;0;0;0;0;9;0;0;0;0;0;13;0;0;0;0;0;0;0;11;0;11;0;9;0;0;0;9;0;11;0;11;0;0;0;0;0;11;0;0;0;14;0;14;0;0;0;0;0;0;0;0;0;0;0;14;0;14;0;0;0;0;0;11;0;0;0;0;0;0;0;14;0;0
taskManagement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0
codeGeneration;0;3;0;3;0;16;0;12;0;3;0;16;0;16;0;3;0;16;0;14;0;14;0;3;0;3;0;3;0;12;0;3;0;3;0;3;0;10;0;10;0;3;0;15;0;3;0;3;0;15;0;15;0;12;0;15;0;15;0;3;0;3;0;12;0;15;0;3;0;15;0;15;0;15;0;3;0;12
persistence;14;31;14;31;13;30;15;30;15;31;13;30;13;31;14;30;14;30;12;30;12;30;12;28;11;32;11;33;11;33;11;33;11;32;11;32;11;32;11;32;11;32;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;12;31;12;31;12;31;12;31;12;31;12;31;12;31
ocl;4;2;4;2;4;2;4;2;4;2;4;2;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1
internationalization;8;2;8;2;8;2;8;2;8;2;8;2;7;2;7;2;7;2;4;2;4;0;4;0;4;0;4;0;6;0;6;0;7;0;7;0;7;0;7;0;7;0;8;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0
explorer;0;0;0;0;11;25;11;25;0;0;11;25;0;0;11;25;11;25;0;0;11;25;11;22;11;22;11;22;11;22;0;0;0;0;11;22;11;22;0;0;0;0;0;0;0;0;0;0;0;0;10;21;0;0;0;0;10;21;0;0;0;0;10;21;11;23;0;0;11;23;0;0;11;23;0;0;0;0
gui;45;119;46;119;44;100;44;100;45;119;43;100;46;119;43;100;43;101;36;119;37;105;36;86;34;83;33;83;26;75;29;90;29;87;25;71;20;80;22;93;22;95;22;100;22;100;22;99;22;99;20;84;22;99;22;100;20;85;27;101;27;101;25;86;25;91;27;107;25;91;27;107;25;91;27;107;27;107
swingExtensions;7;20;7;20;6;20;6;20;7;20;6;20;7;20;6;20;6;20;7;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;7;2;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0;6;0
reverseEngineering;2;36;2;36;2;36;2;39;2;38;2;37;2;38;2;38;2;38;2;35;2;35;2;29;2;30;2;29;2;28;2;29;2;28;2;29;2;27;2;27;2;27;2;27;2;27;2;26;2;26;2;26;2;26;2;26;2;26;1;26;1;26;1;26;1;26;1;26;1;26;1;26;1;26;1;26;1;26
configuration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;7;0;5;0;7;0;7;0;7;0;5;0;5;0;7;0;6;0;7;0;7;0;5;0;5;0;5;0;5;0;5;0;7;0;7;0;5;0;5;0;7;0;5;0;5;0;5;0;7;0;5;0
critics;40;38;40;32;40;38;40;32;40;32;40;38;40;38;40;38;40;38;40;37;40;37;40;38;40;38;40;37;35;36;35;35;34;38;34;38;34;37;34;37;36;37;38;39;38;38;38;38;38;38;38;38;38;37;38;38;38;38;38;43;38;43;38;42;38;43;38;42;38;43;38;43;38;43;38;43;38;42
notation;6;15;6;15;6;15;6;15;6;15;6;15;6;15;6;15;6;15;6;15;8;54;6;50;6;50;6;50;6;50;6;50;6;50;6;47;5;49;5;49;6;51;6;51;6;51;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53;5;53
